Domain,Area,Element,Item,Year,Unit,Value
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 No","2047.056"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 No","2077.394"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 No","2109.811"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 No","2146.325"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 No","2194.654"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2013","1000 No","2252.508"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2014","1000 No","2312.139"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 No","2374.3"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 No","2439.213"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 No","2506.853"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 No","2577.327"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2019","1000 No","2650.494"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2020","1000 No","2728.762"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2021","1000 No","2810.548"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2022","1000 No","2889.662"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2023","1000 No","2963.095"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","1995","1000 No","15565.032"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","1996","1000 No","15640.027"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","1997","1000 No","15723.622"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","1998","1000 No","15827.107"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","1999","1000 No","15940.184"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2000","1000 No","16058.76"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2001","1000 No","16182.705"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2002","1000 No","16288.051"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2003","1000 No","16366.912"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2004","1000 No","16425.566"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2005","1000 No","16465.71"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2006","1000 No","16493.852"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2007","1000 No","16531.357"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 No","16597.258"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 No","16684.15"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 No","16771.235"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 No","16851.057"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 No","16915.194"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2013","1000 No","16967.063"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2014","1000 No","17030.089"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 No","17107.433"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 No","17204.693"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 No","17315.37"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 No","17421.28"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2019","1000 No","17537.507"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2020","1000 No","17636.731"
"Annual population","Netherlands (Kingdom of the)","Total Population - Both sexes","Population - Est. & Proj.","2021","1000 No","17730.564"
